"division","state","postcode","sa3_name","sa4_name"
"Acton","ACT","2601","South Canberra","Australian Capital Territory"
"Ainslie","ACT","2602","North Canberra","Australian Capital Territory"
"Amaroo","ACT","2914","Gungahlin","Australian Capital Territory"
"Aranda","ACT","2614","Belconnen","Australian Capital Territory"
"Banks","ACT","2906","Tuggeranong","Australian Capital Territory"
"Barton","ACT","2600","Woden","Australian Capital Territory"
"Beard","ACT","2620","Tuggeranong","Australian Capital Territory"
"Belconnen","ACT","2617","North Canberra","Australian Capital Territory"
"Belconnen DC","ACT","2617","North Canberra","Australian Capital Territory"
"Black Mountain","ACT","2601","South Canberra","Australian Capital Territory"
"Bonner","ACT","2914","Gungahlin","Australian Capital Territory"
"Bonython","ACT","2905","Tuggeranong","Australian Capital Territory"
"Braddon","ACT","2612","North Canberra","Australian Capital Territory"
"Bruce","ACT","2617","North Canberra","Australian Capital Territory"
"Calwell","ACT","2905","Tuggeranong","Australian Capital Territory"
"Campbell","ACT","2612","North Canberra","Australian Capital Territory"
"Canberra","ACT","2600","Woden","Australian Capital Territory"
"Canberra","ACT","2601","South Canberra","Australian Capital Territory"
"Canberra Airport","ACT","2609","South Canberra","Australian Capital Territory"
"Canberra International Airport","ACT","2609","South Canberra","Australian Capital Territory"
"Capital Hill","ACT","2600","Woden","Australian Capital Territory"
"Casey","ACT","2913","Gungahlin","Australian Capital Territory"
"Causeway","ACT","2604","South Canberra","Australian Capital Territory"
"Chapman","ACT","2611","Weston Creek","Australian Capital Territory"
"Charnwood","ACT","2615","Cotter - Namadgi","Australian Capital Territory"
"Chifley","ACT","2606","Woden","Australian Capital Territory"
"Chisholm","ACT","2905","Tuggeranong","Australian Capital Territory"
"City","ACT","2601","South Canberra","Australian Capital Territory"
"Conder","ACT","2906","Tuggeranong","Australian Capital Territory"
"Cook","ACT","2614","Belconnen","Australian Capital Territory"
"Coombs","ACT","2611","Weston Creek","Australian Capital Territory"
"Coree","ACT","2611","Weston Creek","Australian Capital Territory"
"Crace","ACT","2911","Gungahlin","Australian Capital Territory"
"Curtin","ACT","2605","Woden","Australian Capital Territory"
"Deakin","ACT","2600","Woden","Australian Capital Territory"
"Deakin West","ACT","2600","Woden","Australian Capital Territory"
"Denman Prospect","ACT","2611","Weston Creek","Australian Capital Territory"
"Dickson","ACT","2602","North Canberra","Australian Capital Territory"
"Downer","ACT","2602","North Canberra","Australian Capital Territory"
"Duffy","ACT","2611","Weston Creek","Australian Capital Territory"
"Dunlop","ACT","2615","Cotter - Namadgi","Australian Capital Territory"
"Duntroon","ACT","2600","Woden","Australian Capital Territory"
"Erindale Centre","ACT","2903","Tuggeranong","Australian Capital Territory"
"Evatt","ACT","2617","North Canberra","Australian Capital Territory"
"Fadden","ACT","2904","Tuggeranong","Australian Capital Territory"
"Fairbairn RAAF","ACT","2600","Woden","Australian Capital Territory"
"Farrer","ACT","2607","Woden","Australian Capital Territory"
"Fisher","ACT","2611","Weston Creek","Australian Capital Territory"
"Florey","ACT","2615","Cotter - Namadgi","Australian Capital Territory"
"Flynn","ACT","2615","Cotter - Namadgi","Australian Capital Territory"
"Forde","ACT","2914","Gungahlin","Australian Capital Territory"
"Forrest","ACT","2603","South Canberra","Australian Capital Territory"
"Franklin","ACT","2913","Gungahlin","Australian Capital Territory"
"Fraser","ACT","2615","Cotter - Namadgi","Australian Capital Territory"
"Fyshwick","ACT","2609","South Canberra","Australian Capital Territory"
"Garran","ACT","2605","Woden","Australian Capital Territory"
"Gilmore","ACT","2905","Tuggeranong","Australian Capital Territory"
"Ginninderra Village","ACT","2913","Gungahlin","Australian Capital Territory"
"Giralang","ACT","2617","North Canberra","Australian Capital Territory"
"Gordon","ACT","2906","Tuggeranong","Australian Capital Territory"
"Gowrie","ACT","2904","Tuggeranong","Australian Capital Territory"
"Greenway","ACT","2900","Tuggeranong","Australian Capital Territory"
"Griffith","ACT","2603","South Canberra","Australian Capital Territory"
"Gungahlin","ACT","2912","North Canberra","Australian Capital Territory"
