"division","state","postcode","sa3_name","sa4_name"
"Aarons Pass","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Abbotsbury","NSW","2176","Fairfield","Sydney - South West"
"Abbotsford","NSW","2046","Strathfield - Burwood - Ashfield","Sydney - Inner West"
"Abercrombie","NSW","2795","Orange","Central West"
"Abercrombie River","NSW","2795","Orange","Central West"
"Aberdare","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Aberdeen","NSW","2336","Upper Hunter","Hunter Valley exc Newcastle"
"Aberfoyle","NSW","2350","Armidale","New England and North West"
"Aberglasslyn","NSW","2320","Port Stephens","Hunter Valley exc Newcastle"
"Abermain","NSW","2326","Maitland","Hunter Valley exc Newcastle"
"Abernethy","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Abington","NSW","2350","Armidale","New England and North West"
"Acacia Creek","NSW","2476","Richmond Valley - Hinterland","Richmond - Tweed"
"Acacia Gardens","NSW","2763","Blacktown - North","Sydney - Blacktown"
"Acacia Park","NSW","2350","Armidale","New England and North West"
"Acacia Plateau","NSW","2476","Richmond Valley - Hinterland","Richmond - Tweed"
"Adaminaby","NSW","2629","Tumut - Tumbarumba","Riverina"
"Adamstown","NSW","2289","Newcastle","Newcastle and Lake Macquarie"
"Adamstown Heights","NSW","2289","Newcastle","Newcastle and Lake Macquarie"
"Adelong","NSW","2729","Wagga Wagga","Riverina"
"Adjungbilly","NSW","2727","Wagga Wagga","Riverina"
"Afterlee","NSW","2474","Tweed Valley","Richmond - Tweed"
"Agnes Banks","NSW","2753","Richmond - Windsor","Sydney - Outer West and Blue Mountains"
"Airds","NSW","2560","Wollondilly","Sydney - Outer South West"
"Airly","NSW","2846","Lithgow - Mudgee","Central West"
"Akolele","NSW","2546","South Coast","Capital Region"
"Akuna Bay","NSW","2084","Warringah","Sydney - Northern Beaches"
"Albert","NSW","2873","Lachlan Valley","Central West"
"Albion Park","NSW","2527","Southern Highlands","Southern Highlands and Shoalhaven"
"Albion Park Rail","NSW","2527","Southern Highlands","Southern Highlands and Shoalhaven"
"Albury","NSW","2640","Wodonga - Alpine","Hume"
"Aldavilla","NSW","2440","Armidale","New England and North West"
"Alectown","NSW","2870","Orange","Central West"
"Alexandria","NSW","2015","Sydney Inner City","Sydney - City and Inner South"
"Alfords Point","NSW","2234","Sutherland - Menai - Heathcote","Sydney - Sutherland"
"Alfredtown","NSW","2650","Wagga Wagga","Riverina"
"Alice","NSW","2469","Richmond Valley - Hinterland","Richmond - Tweed"
"Alice","NSW","2470","Richmond Valley - Hinterland","Richmond - Tweed"
"Alison","NSW","2259","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Alison","NSW","2420","Great Lakes","Mid North Coast"
"Allambie","NSW","2100","Warringah","Sydney - Northern Beaches"
"Allambie Heights","NSW","2100","Warringah","Sydney - Northern Beaches"
"Allandale","NSW","2320","Port Stephens","Hunter Valley exc Newcastle"
"Allawah","NSW","2218","Kogarah - Rockdale","Sydney - Inner South West"
"Alleena","NSW","2671","Lachlan Valley","Central West"
"Allgomera","NSW","2441","Port Macquarie","Mid North Coast"
"Allgomera Creek","NSW","2441","Port Macquarie","Mid North Coast"
"Allworth","NSW","2425","Great Lakes","Mid North Coast"
"Allynbrook","NSW","2311","Lower Hunter","Hunter Valley exc Newcastle"
"Alma Park","NSW","2659","Albury","Murray"
"Alpine","NSW","2575","Southern Highlands","Southern Highlands and Shoalhaven"
"Alstonvale","NSW","2477","Richmond Valley - Hinterland","Richmond - Tweed"
"Alstonville","NSW","2477","Richmond Valley - Hinterland","Richmond - Tweed"
"Alumy Creek","NSW","2460","Inverell - Tenterfield","New England and North West"
"Amaroo","NSW","2866","Dubbo","Far West and Orana"
"Ambarvale","NSW","2560","Wollondilly","Sydney - Outer South West"
"Ammerdown","NSW","2800","Orange","Central West"
"Amosfield","NSW","4380","Granite Belt","Darling Downs - Maranoa"
"Anabranch North","NSW","2648","Lower Murray","Murray"
"Anabranch South","NSW","2648","Lower Murray","Murray"
"Anambah","NSW","2320","Port Stephens","Hunter Valley exc Newcastle"
"Ando","NSW","2631","Snowy Mountains","Capital Region"
"Anembo","NSW","2621","Queanbeyan","Capital Region"
"Angledale","NSW","2550","South Coast","Capital Region"
"Angledool","NSW","2832","Bourke - Cobar - Coonamble","Far West and Orana"
